rgba(17, 87, 10, 0.00)
rgba(37, 104, 10, 0.06)
rgba(176, 124, 34, 0.57)
rgba(166, 157, 54, 0.64)
rgba(127, 11, 247, 0.94)
rgba(134, 97, 86, 1.00)
rgba(137, 70, 215, 1.00)
rgba(14, 109, 169, 1.00)
rgba(174, 72, 6, 1.00)
rgba(178, 147, 166, 1.00)
rgba(201, 39, 212, 1.00)
rgba(21, 64, 72, 1.00)
rgba(224, 42, 103, 1.00)
rgba(234, 213, 143, 1.00)
rgba(235, 69, 95, 1.00)
rgba(244, 219, 140, 1.00)
rgba(248, 179, 102, 1.00)
rgba(255, 40, 203, 1.00)
rgba(43, 83, 236, 1.00)
rgba(52, 105, 239, 1.00)
rgba(6, 120, 6, 1.00)
rgba(62, 28, 225, 1.00)
rgba(62, 86, 139, 1.00)
rgba(68, 153, 158, 1.00)
rgba(77, 57, 54, 1.00)
